IDCOMPANY;COD_CDC;DESC_CDC;INIZIO_CDC;FINE_CDC;COD_DETT;DESC_DETT;INIZIO_DETT;FINE_DETT;FLATTR;DTSTARTVL;DTENDVL
000001;58;Monza;01-01-1800;31-12-2999;ARNALI-DIR;ArnAlice-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ARNALI-IND;ArnAlice-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;AULRAF-DIR;AulRaffaele-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;AULRAF-IND;AulRaffaele-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;AZOMAR-DIR;AzoMartino-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;AZOMAR-IND;AzoMartino-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BARALE-DIR;BarAlessandra-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BARALE-DIR;BarAlessandra-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BARALE-IND;BarAlessandra-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BARALE-IND;BarAlessandra-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BARLUC-DIR;BarLuca-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BARLUC-DIR;BarLuca-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BARLUC-IND;BarLuca-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BARLUC-IND;BarLuca-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BARMAT-DIR;BarMatteo-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BARMAT-IND;BarMatteo-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BARSAS-DIR;BarSasha-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BARSAS-DIR;BarSasha-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BARSAS-IND;BarSasha-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BARSAS-IND;BarSasha-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BASEDO-DIR;BasEdoardo-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BASEDO-IND;BasEdoardo;01-09-2017;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BATLUC-DIR;BatLuca-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BATLUC-DIR;BatLuca-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BATLUC-IND;BatLuca-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BATLUC-IND;BatLuca-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BERMAR-DIR;BerMartina-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BERMAR-DIR;BerMartina-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BERMAR-IND;BerMartina-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BERMAR-IND;BerMartina-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BERMAT-DIR;BerMattia-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BERMAT-DIR;BerMattia-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BERMAT-IND;BerMattia-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BERMAT-IND;BerMattia-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BETDIM-DIR;BetDima-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BETDIM-IND;BetDima-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BETGIO-DIR;BetGiovanni-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BETGIO-IND;BetGiovanni-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BEVSAM-DIR;BevSamuele-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BEVSAM-IND;BevSamuele-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BIRMAS-DIR;BIRMassimo-DIR;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BIRMAS-IND;BIRMassimo-INDIRETTE;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BOFALD-DIR;BonFabio/AliDaniele-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BOFALD-IND;BonFabio/AliDaniele-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BOLCOV-DIR;BonLuca/ConViola-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BOLCOV-IND;BonLuca/ConViola-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BONALE-DIR;BonAlessandro-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BONALE-IND;BonAlessandro-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BONFAB-DIR;BonFabio-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BONFAB-IND;BonFabio-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BONLUC-DIR;BonLuca-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;BONLUC-IND;BonLuca-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BOSAND-DIR;BosAndrea-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BOSAND-DIR;BosAndrea-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BOSAND-IND;BosAndrea-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BOSAND-IND;BosAndrea-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BOSLUC-DIR;BosLuca-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BOSLUC-DIR;BosLuca-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BOSLUC-IND;BosLuca-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BOSLUC-IND;BosLuca-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRAIVA-DIR;BraIvan-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;BRAIVA-DIR;BraIvan-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;BRAIVA-IND;BraIvan-indirette;01-01-1800;31-12-2999;;;
